week,open,close,ret_pct,regime,n_days
2018-11-30,10628.60,10876.75,2.33,CHOP,5
2018-12-07,10883.75,10693.70,-1.75,RANGE,5
2018-12-14,10488.45,10805.45,3.02,RANGE,5
2018-12-21,10888.35,10754.00,-1.23,RANGE,5
2018-12-28,10663.50,10859.90,1.84,RANGE,4
2019-01-04,10862.55,10727.35,-1.24,RANGE,4
2019-01-11,10771.80,10794.95,0.21,RANGE,5
2019-01-18,10737.60,10906.95,1.58,CHOP,5
2019-01-25,10961.85,10780.55,-1.65,RANGE,5
2019-02-01,10661.55,10893.65,2.18,RANGE,5
2019-02-08,10912.25,10943.60,0.29,RANGE,5
2019-02-15,10888.80,10724.40,-1.51,RANGE,4
2019-02-22,10640.95,10791.65,1.42,RANGE,5
2019-03-01,10880.10,10863.50,-0.15,RANGE,5
2019-03-08,10987.45,11035.40,0.44,RANGE,4
2019-03-15,11168.05,11426.85,2.32,RANGE,5
2019-03-22,11462.20,11456.90,-0.05,TREND UP,4
2019-03-28,11354.25,11570.00,1.90,TREND UP,4
2019-04-05,11669.15,11665.95,-0.03,TREND UP,5
2019-04-12,11604.50,11643.45,0.34,TREND UP,5
2019-04-18,11690.35,11752.80,0.53,TREND UP,3
2019-04-26,11594.45,11754.65,1.38,TREND UP,5
2019-05-03,11748.15,11712.25,-0.31,TREND UP,3
2019-05-10,11598.25,11278.90,-2.75,TREND DOWN,5
2019-05-17,11148.20,11407.15,2.32,TREND DOWN,5
2019-05-24,11828.25,11844.10,0.13,TREND UP,5
2019-05-31,11924.75,11922.80,-0.02,TREND UP,5
2019-06-07,12088.55,11870.65,-1.80,TREND UP,4
2019-06-14,11922.70,11823.30,-0.83,TREND UP,5
2019-06-21,11672.15,11724.10,0.45,TREND DOWN,5
2019-06-28,11699.65,11788.85,0.76,CHOP,5
2019-07-05,11865.60,11811.15,-0.46,CHOP,5
2019-07-12,11558.60,11552.50,-0.05,RANGE,5
2019-07-19,11588.35,11419.25,-1.46,RANGE,5
2019-07-26,11346.20,11284.30,-0.55,TREND DOWN,5
2019-08-02,11189.20,10997.35,-1.71,TREND DOWN,5
2019-08-09,10862.60,11109.65,2.27,TREND DOWN,5
2019-08-16,10925.85,11047.80,1.12,TREND DOWN,3
2019-08-23,11053.90,10829.35,-2.03,TREND DOWN,5
2019-08-30,11057.85,11023.25,-0.31,TREND DOWN,5
2019-09-06,10797.90,10946.20,1.37,TREND DOWN,4
2019-09-13,11003.05,11075.90,0.66,TREND DOWN,4
2019-09-20,11003.50,11274.20,2.46,TREND DOWN,5
2019-09-27,11600.20,11512.40,-0.76,TREND UP,5
2019-10-04,11474.45,11174.75,-2.61,RANGE,4
2019-10-11,11126.40,11305.05,1.61,RANGE,4
2019-10-18,11341.15,11661.85,2.83,RANGE,5
2019-10-25,11588.35,11583.90,-0.04,RANGE,4
2019-11-01,11786.85,11890.60,0.88,RANGE,4
2019-11-08,11941.30,11908.15,-0.28,TREND UP,5
2019-11-15,11913.45,11895.45,-0.15,TREND UP,4
2019-11-22,11884.50,11914.40,0.25,TREND UP,5
2019-11-29,12073.75,12056.05,-0.15,TREND UP,5
2019-12-06,12048.20,11921.50,-1.05,TREND UP,5
2019-12-13,11937.50,12086.70,1.25,CHOP,5
2019-12-20,12053.95,12271.80,1.81,RANGE,5
2019-12-27,12262.75,12245.80,-0.14,RANGE,4
2020-01-03,12255.85,12226.65,-0.24,RANGE,5
2020-01-10,11993.05,12256.80,2.20,CHOP,5
2020-01-17,12329.55,12352.35,0.18,RANGE,5
2020-01-24,12224.55,12248.25,0.19,RANGE,5
2020-01-31,12119.00,11962.10,-1.29,RANGE,5
