symbol,signal_date,tier,entry_date,entry_px,exit_px,exit_date,exit,hold_days,pnl_pct,open,stage_at_signal,rsi_at_signal
LT,2017-11-27,T2,2017-11-28,1228.0,1189.25,2017-12-13,stage,12,-3.16,False,ALL-ALIGN BULL,55.3
LT,2018-01-11,T1,2018-01-12,1325.5,1415.45,2018-02-02,time,15,6.79,False,ALL-ALIGN BULL,69.4
LT,2018-11-02,T1,2018-11-05,1358.3,1431.6,2018-11-27,time,15,5.4,False,ALL-ALIGN BULL,69.5
LT,2018-12-07,T1,2018-12-10,1374.7,1367.75,2018-12-10,stage,1,-0.51,False,ALL-ALIGN BULL,55.8
LT,2018-12-12,T1,2018-12-13,1413.7,1404.8,2018-12-24,stage,8,-0.63,False,ALL-ALIGN BULL,55.1
LT,2019-03-01,T1,2019-03-05,1302.0,1305.8,2019-03-05,stage,1,0.29,False,EARLY-UP,55.4
LT,2019-03-14,T1,2019-03-15,1386.0,1373.65,2019-04-08,time,15,-0.89,False,ALL-ALIGN BULL,66.9
LT,2019-05-27,T1,2019-05-28,1596.0,1509.25,2019-06-12,stop,11,-5.44,False,TOP-WARNING,81.8
LT,2019-07-03,T1,2019-07-04,1582.95,1490.35,2019-07-08,stage,3,-5.85,False,ALL-ALIGN BULL,66.1
LT,2019-09-09,T1,2019-09-11,1364.0,1362.4,2019-09-12,stage,2,-0.12,False,EARLY-UP,51.6
LT,2019-09-25,T1,2019-09-26,1456.3,1427.7,2019-10-11,stage,10,-1.96,False,ALL-ALIGN BULL,59.4
LT,2020-01-02,T1,2020-01-03,1344.95,1335.05,2020-01-03,stage,1,-0.74,False,EARLY-UP,57.5
LT,2020-04-17,T1,2020-04-20,940.8,915.6,2020-04-20,stage,1,-2.68,False,EARLY-UP,52.2
LT,2020-04-30,T1,2020-05-04,880.0,850.65,2020-05-04,stage,1,-3.34,False,EARLY-UP,50.8
LT,2020-08-24,T1,2020-08-25,993.0,980.4,2020-08-25,stage,1,-1.27,False,EARLY-UP,62.2
